"YEAR","STATE","RETURNSCOUNT","NUM_BUS_INCOME","SAL&WAGES","UNEMP_COMP_Count","UNEMP_COMP$","NUM_RE_TAXES","AGI","PERC_BUSINESS_RETURN","UNEMP_COMP_PR","PERC_RE","AGI_PR"
2010,"AK",575714.0032,79850.0073,24927808.0034,137076.0096,445016.0096,144922.007,34835838.0032,13.8697351212874,772.981041153178,25.1725693998197,60508.9294503372
2010,"AL",3999594.0441,643024.1062,141008068.0472,346122.1407,1860876.1407,984318.0782,192476666.0441,16.0772343170317,465.266254570278,24.6104496443087,48124.0505715903
2010,"AR",2324860.0661,363292.1276,77715246.0685,238734.1345,1460424.1345,490162.0981,109919018.0661,15.6264083545222,628.177220554135,21.0835097237597,47279.8426317724
2010,"AZ",4998314.0127,719278.0319,190210576.0136,452378.05,3003164.05,1601120.0178,268986704.0127,14.3904130487284,600.835410174189,32.0332018703063,53815.4872481487
2010,"CA",31721848.0553,5577708.1358,1446652026.0611,4141336.1803,36401112.1803,9718502.0878,2071341748.0553,17.5831752490476,1147.50919041169,30.6366201327803,65297.0074266914
2010,"CO",4479516.0275,755562.0601,199106426.0302,403968.0672,3643032.0672,1605344.0414,282430586.0275,16.8670466957047,813.264657350308,35.8374438565395,63049.3527188301
2010,"CT",3369500.0042,505214.0155,195659724.005,459860.0304,4230798.0304,1389104.0074,293179182.0042,14.9937383846346,1255.61597421766,41.225820022808,87009.6992547141
2010,"DC",626222.0001,104078.0006,33720760.0001,42148.0025,320468.0025,172068.0004,48387646.0001,16.6199846992568,511.74823377145,27.4771567227793,77269.1569321632
2010,"DE",834714.0018,96920.0053,33975674.0018,85108.0069,637422.0069,274860.0031,47080204.0018,11.611163235671,763.641205880632,32.9286441232907,56402.796527044
2010,"FL",18069408.0203,2976862.0695,609565820.0231,1666272.1342,11916020.1342,4119210.0331,952893970.0203,16.4745965454743,659.458246823194,22.7965964821442,52735.2068728414
2010,"GA",8655410.0411,1599986.101,324498856.0429,752174.1445,5285116.1445,2647106.0621,436086910.0411,18.4853876754828,610.614184585566,30.5832542829315,50383.1601241711
2010,"HI",1188442.0009,170166.0034,44871814.0011,99440.0078,909014.0078,306614.0013,64131152.0009,14.3184104290436,764.878729556519,25.7996604855603,53962.3742280514
2010,"IA",2721594.1007,402596.2195,102886350.1046,305736.2423,1858490.2423,816414.1861,144935836.1007,14.7926621165313,682.868265264829,29.9976468162544,53254.0234649326
