STATE,YEAR,PERC_BUSINESS_RETURN,UNEMP_COMP_PR,PERC_RE,AGI_PR
maine,2012,16.56,418.46,28.1,52343.60201
michigan,2012,14.53,520.12,27,55592.33509
minnesota,2012,14.43,416.63,35.11,67165.23953
missouri,2012,14.39,350.75,26.12,55874.21898
mississippi,2012,16.89,256.92,19.16,46183.67281
montana,2012,15.83,385.67,26.79,53375.65989
north carolina,2012,16.02,512.11,29.51,54922.55291
north dakota,2012,13.31,176.91,15.71,70616.9076
nebraska,2012,14.22,194.51,26.39,60526.58416
new hampshire,2012,14.82,375.64,32.29,66153.75625
new jersey,2012,14.22,1067.84,37.7,79672.48833
new mexico,2012,14.01,407.83,21.73,50328.75094
nevada,2012,13.58,661.31,22.63,61152.9129
new york,2012,16.68,588.89,26.51,77070.53997
ohio,2012,13.31,362.38,26.34,54911.94453
oklahoma,2012,16.06,237.62,21.86,58555.69507
oregon,2012,14.75,697.77,34.09,57829.13092
pennsylvania,2012,12.37,750.99,27.69,61330.25961
rhode island,2012,13.61,910.55,32.37,60618.64694
south carolina,2012,14.83,349.2,26.2,51122.08627
south dakota,2012,14.14,126.72,15.94,58390.13228
tennessee,2012,17.09,298.59,20.15,53753.45342
texas,2012,18.72,328.45,20.74,65370.14104
utah,2012,15.02,262,34.12,60312.22018
virginia,2012,14.28,225.84,34.32,71172.00411
vermont,2012,17.47,367.53,27.3,55176.97998
washington,2012,13.02,646.72,30.9,69518.30683
wisconsin,2012,12.08,503.17,32.31,57920.60065
west virginia,2012,10.97,427.46,15.69,48599.90957
wyoming,2012,13.54,320.68,19.72,69129.90153
alaska,2013,15.08,606.01,20.79,64853.19143
alabama,2013,16.04,181.91,21.99,51942.34925
arkansas,2013,15.45,306.77,19.24,51616.37883
arizona,2013,14.76,202.81,25.99,57199.23738
california,2013,18.17,565.63,28.05,71704.76261
colorado,2013,16.97,324.09,30.63,67967.67666
connecticut,2013,15.23,649.97,38.56,90070.26697
district of columbia,2013,17.47,273.76,26.07,84202.20096
delaware,2013,11.5,350.38,29.63,60768.05386
florida,2013,18.27,199.46,19.43,59216.00765
georgia,2013,19.93,232.75,28.13,56269.40812
hawaii,2013,14.74,363.22,23.14,57520.1041
iowa,2013,13.97,310.16,26.97,58210.02781
idaho,2013,15.87,323.96,26.2,52790.56463
illinois,2013,14.67,477.02,30.03,67327.27424
indiana,2013,12.67,257.33,21.64,53069.34863
kansas,2013,14.4,244.34,24.74,60081.35275
kentucky,2013,14.14,349.59,23.93,50730.22819
louisiana,2013,17.89,121.1,16.85,56282.09969
massachusetts,2013,14.58,595.26,34.1,81211.6394
maryland,2013,18.37,312.4,37.05,70523.57013
maine,2013,16.35,328.14,26.74,52512.76016
michigan,2013,14.43,366.95,25.31,55373.49822
minnesota,2013,14.26,337.32,33.5,66495.61817
missouri,2013,14.25,254.71,24.58,55462.77611
mississippi,2013,17.17,203.41,18.26,46270.4254
montana,2013,15.7,309.96,25.77,52831.29199
north carolina,2013,16.08,303.21,28.05,54949.62379
north dakota,2013,13.13,176.82,14.46,69677.41755
nebraska,2013,14.03,135.26,25.1,58846.49925
new hampshire,2013,14.79,284.72,30.94,66177.90984
new jersey,2013,14.31,758.1,36.85,79459.11422
new mexico,2013,13.93,297.01,20.59,50207.55111
nevada,2013,14.26,482.47,20.99,59172.82657
new york,2013,16.54,436.23,25.82,76630.28435
ohio,2013,13.32,283.72,24.79,54545.59355
oklahoma,2013,16.15,168.8,20.8,57190.208
oregon,2013,14.6,513.72,32.98,58556.0088
pennsylvania,2013,12.42,595.96,26.7,60938.71157
rhode island,2013,13.58,638.02,31.39,60320.19339
south carolina,2013,14.88,217.17,25.14,51755.04699
south dakota,2013,14.17,91.3,14.78,57290.69136
tennessee,2013,16.97,203.46,18.56,53296.90247
texas,2013,18.79,245.2,19.57,63784.22286
utah,2013,14.98,206.36,32.91,59742.63766
virginia,2013,14.37,170.21,33.44,70267.0986
vermont,2013,17.25,283.27,26.27,55709.22597
washington,2013,13.01,472.8,29.09,69157.90825
wisconsin,2013,11.96,404.81,30.85,57850.73106
west virginia,2013,10.98,377.53,14.97,48741.56843
wyoming,2013,14.33,242.02,19.59,69923.64269
alaska,2014,15.37,647.01,19.93,68152.5246
alabama,2014,16.27,105.65,21.24,53902.84326
arkansas,2014,15.65,184.85,18.8,54236.33862
arizona,2014,15.03,125.79,25.18,59654.63391
california,2014,18.38,356.11,27.52,76793.56434
colorado,2014,17.17,186.27,29.46,72689.25123
connecticut,2014,15.45,387.12,37.82,94996.47814
district of columbia,2014,17.41,175.7,25.53,90128.9319
delaware,2014,11.68,208.75,28.73,63331.1039
florida,2014,18.89,88.67,18.77,63921.81547
georgia,2014,20.55,106.82,27.29,59710.01248
hawaii,2014,14.97,245.65,22.58,60171.7477
iowa,2014,13.86,239.89,26.37,60662.78466
idaho,2014,15.9,205.07,25.52,55249.26859
illinois,2014,14.88,276.56,29.24,70995.00685
indiana,2014,12.83,133.39,20.95,55053.30955
kansas,2014,14.4,155.54,23.19,63227.65418
